Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
Bi-Rite Creamery,wGl_DyNxSv8KUtYgiuLhmA,4.5,9351,1,San Francisco,CA,94110,Ice Cream & Frozen Yogurt
Mitchell's Ice Cream,76smcUUGRvq3k1MVPUXbnA,4.5,3710,1,San Francisco,CA,94110,Ice Cream & Frozen Yogurt
El Farolito,SGRmnarrNuVEsAjYdEoA0w,4.0,4508,1,San Francisco,CA,94110,Mexican
Saigon Sandwich,hqQoVK0vadOX7_4gN1sh3g,4.5,3071,1,San Francisco,CA,94102,Vietnamese
Golden Boy Pizza,PTFxtXS47ZVRCdZIrEWvGw,4.5,3068,1,San Francisco,CA,94133,Pizza
Golden Gate Bakery,m3xdxV8YNH5uh1N01xdnLA,4.5,3079,1,San Francisco,CA,94133,Bakeries
Humphry Slocombe Ice Cream,47OC_X6KkiDDQ4jwoCUjFg,4.0,3301,1,San Francisco,CA,94110,Ice Cream & Frozen Yogurt
The Codmother Fish and Chips,PDhfVvcVXgBinZf5I6s1KQ,4.5,2714,1,San Francisco,CA,94133,British
La Taqueria,JARsJVKLPgs_yC3cwDnp7g,4.0,3594,1,San Francisco,CA,94110,Mexican
Bob's Donut & Pastry Shop,GXu3PD4IPsxIHpo011aydg,4.5,2695,1,San Francisco,CA,94109,Bakeries
Arizmendi Bakery,xDwEMq8kgT0eQepn90Jkvg,4.5,1807,1,San Francisco,CA,94122,Bakeries
Philz Coffee,akXf1BdFZjQb2fO8Ca7FtA,4.5,1626,1,San Francisco,CA,94110,Coffee & Tea
Anthony's Cookies,PrlH7YcQ22m9DyuWbxJjMA,4.5,1599,1,San Francisco,CA,94110,Bakeries
Marco Polo Italian Ice Cream,RrIduU6-SUNCanTEVF-hIQ,4.5,1361,1,San Francisco,CA,94116,Ice Cream & Frozen Yogurt
Lou's Cafe,IJk76B-pTta_klpAZcpQdA,4.5,1402,1,San Francisco,CA,94118,Coffee & Tea
Mr. and Mrs. Miscellaneous,YzA3ocJ0XvsTuD18qr2ctg,4.5,1381,1,San Francisco,CA,94107,Ice Cream & Frozen Yogurt
Genki Crepes & Mini-Mart,83dXgt2nG98JJG2F7ai8AQ,4.0,2136,1,San Francisco,CA,94118,Desserts
